stadiumId,tenantId,teamName,league,conference,division,city,state,country,stadiumName,nonCorporateName,shortName,formerNames,surface,roof,constructionCost,renovations,artificialCapacity,capacity,openingDate,firstUsedDate,lastUsedDate,closingDate,active,activeForTeam,visited,visits,logoUrl,markerSizeX,markerSizeY,positionLat,positionLng,imageWithFans,imageEmpty,imageFacade,imageAerial,primaryFieldImage,primaryPerspectiveImage
target-field-minnesota-2010,MinnesotaTwins,Minnesota Twins,MLB,AL,Central,Minneapolis,MN,USA,Target Field,,,,Grass,Open,555000000,,,38544,2010,2010,,,True,True,False,0,https://i.imgur.com/vqoft3j.png,30,30,44.98178,-93.27754,https://i.imgur.com/D6fxkXy.jpg,https://i.imgur.com/6pRftli.jpg,https://i.imgur.com/Q6qjkAr.jpg,https://i.imgur.com/VTJE0Dn.jpg,https://i.imgur.com/6pRftli.jpg,https://i.imgur.com/VTJE0Dn.jpg
coors-field-denver-1995,ColoradoRockies,Colorado Rockies,MLB,NL,West,Denver,CO,USA,Coors Field,,,,Grass,Open,300000000,,,46897,1995,1995,,,True,True,True,1,https://i.imgur.com/N1t7jiy.png,30,32,39.75588,-104.99417,https://i.imgur.com/oXucnn6.jpg,https://i.imgur.com/XGAAHng.jpg,https://i.imgur.com/VPzoRqU.jpg,https://i.imgur.com/lsvfX5k.jpg,https://i.imgur.com/XGAAHng.jpg,https://i.imgur.com/lsvfX5k.jpg
nationals-park-dc-2008,WashingtonNationals,Washington Nationals,MLB,NL,East,Washington,D.C.,USA,Nationals Park,,,,Grass,Open,693000000,,,41339,2008,2008,,,True,True,False,0,https://i.imgur.com/j37GTwJ.png,30,30,38.87301,-77.00743,https://i.imgur.com/s4hWSU0.jpg,https://i.imgur.com/7gRrDW9.jpg,https://i.imgur.com/tMjGyWc.jpg,https://i.imgur.com/28DwE4G.jpg,https://i.imgur.com/s4hWSU0.jpg,https://i.imgur.com/28DwE4G.jpg
fenway-park-boston-1912,BostonRedSox,Boston Red Sox,MLB,AL,East,Boston,MA,USA,Fenway Park,,,,Grass,Open,650000,,,37755,1912,1912,,,True,True,False,0,https://i.imgur.com/fVjLajI.png,47,30,42.34667,-71.09721,https://i.imgur.com/DdZOocU.jpg,https://i.imgur.com/l2XXJLr.jpg,https://i.imgur.com/8ZL7mwm.jpg,https://i.imgur.com/1TlsvOp.jpg,https://i.imgur.com/DdZOocU.jpg,https://i.imgur.com/1TlsvOp.jpg
angel-stadium-los-angeles-1966,LosAngelesAngels,Los Angeles Angels,MLB,AL,West,Anaheim,CA,USA,Angel Stadium,,,,Grass,Open,24000000,118000000 (1998),,45517,1966,1966,,,True,True,False,0,https://i.imgur.com/bbaHFP0.png,27,36,33.8003,-117.88273,https://i.imgur.com/pnXxVsN.jpg,https://i.imgur.com/7gLjGTf.jpg,https://i.imgur.com/VWGBrNy.jpg,https://i.imgur.com/wfzjd32.jpg,https://i.imgur.com/pnXxVsN.jpg,https://i.imgur.com/wfzjd32.jpg
guaranteed-rate-field-chicago-1991,ChicagoWhiteSox,Chicago White Sox,MLB,AL,Central,Chicago,IL,USA,Guaranteed Rate Field,,,Comiskey Park (1991-2003) --- U.S. Cellular Field (2003-2016),Grass,Open,137000000,118000000 (2001-2007),,40615,1991,1991,,,True,True,False,0,https://i.imgur.com/bDkv7lU.png,30,30,41.8299,-87.63375,https://i.imgur.com/kaLmkHh.jpg,https://i.imgur.com/QwJ2On6.jpg,https://i.imgur.com/ZDSS5nl.jpg,https://i.imgur.com/aXaFOJ1.jpg,https://i.imgur.com/kaLmkHh.jpg,https://i.imgur.com/aXaFOJ1.jpg
citizens-bank-park-philadelphia-2004,PhiladelphiaPhillies,Philadelphia Phillies,MLB,NL,East,Philadelphia,PA,USA,Citizens Bank Park,,,,Grass,Open,458000000,,,42792,2004,2004,,,True,True,False,0,https://i.imgur.com/yirUumW.png,46,30,39.90605,-75.16649,https://i.imgur.com/ooUYcJt.jpg,https://i.imgur.com/4ciRxon.jpg,https://i.imgur.com/JfObDye.jpg,https://i.imgur.com/9CmQ18f.jpg,https://i.imgur.com/ooUYcJt.jpg,https://i.imgur.com/9CmQ18f.jpg
rogers-centre-toronto-1989,TorontoBlueJays,Toronto Blue Jays,MLB,AL,East,Toronto,ON,Canada,Rogers Centre,SkyDome,,SkyDome (1989-2005),Artificial turf,Retractable,570000000,,,49282,1989,1989,,,True,True,False,0,https://i.imgur.com/p0H6fLq.png,50,32,43.64177,-79.38914,https://i.imgur.com/ynZbskg.jpg,https://i.imgur.com/BP9TLdL.jpg,https://i.imgur.com/mRikF1J.jpg,https://i.imgur.com/TVGZQ3C.jpg,https://i.imgur.com/ynZbskg.jpg,https://i.imgur.com/TVGZQ3C.jpg
oracle-park-san-francisco-2000,SanFranciscoGiants,San Francisco Giants,MLB,NL,West,San Francisco,CA,USA,Oracle Park,,,Pacific Bell Park (2000-2003) --- SBC Park (2004-2005) --- AT&T Park (2006-2018) ,Grass,Open,357000000,,,41915,2000,2000,,,True,True,False,0,https://i.imgur.com/AWPIsOT.png,45,24,37.77859,-122.38926,https://i.imgur.com/b4QJMsF.jpg,https://i.imgur.com/kegKkzc.jpg,https://i.imgur.com/8TffFiq.jpg,https://i.imgur.com/ULX55jr.jpg,https://i.imgur.com/b4QJMsF.jpg,https://i.imgur.com/ULX55jr.jpg
camden-yards-baltimore-1992,BaltimoreOrioles,Baltimore Orioles,MLB,AL,East,Baltimore,MD,USA,Oriole Park at Camden Yards,,Camden Yards,,Grass,Open,110000000,,,44970,1992,1992,,,True,True,False,0,https://i.imgur.com/j18ql14.png,32,30,39.28393,-76.62156,https://i.imgur.com/ZfrJ9wn.jpg,https://i.imgur.com/GvZ4EOX.jpg,https://i.imgur.com/9ggJa8B.jpg,https://i.imgur.com/FUEiG0Z.jpg,https://i.imgur.com/ZfrJ9wn.jpg,https://i.imgur.com/FUEiG0Z.jpg
